id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kingdom,Vell,hip hop,confident,0.80,95,0.62,0.85,0.12
12,Moonlit Sonatina,Clara Vance,classical,melancholy,0.30,68,0.35,0.20,0.95
13,Island Time,Coral Roots,reggae,uplifting,0.58,98,0.88,0.80,0.44
14,Dust and Diesel,Wade Hollow,country,nostalgic,0.55,112,0.66,0.61,0.68
15,Neon Overdrive,Circuit Fox,edm,euphoric,0.95,128,0.83,0.90,0.04
16,Iron Verdict,Ash Requiem,metal,aggressive,0.97,168,0.30,0.55,0.03
17,Wildflower Trail,June Meadows,folk,peaceful,0.38,84,0.72,0.49,0.90
18,Velvet Hours,Simone Ray,r&b,romantic,0.52,74,0.74,0.71,0.40
19,Basement Groove,The Low Enders,funk,playful,0.78,108,0.86,0.89,0.19
20,Cathedral of Light,Voices United,gospel,triumphant,0.70,100,0.90,0.68,0.52
